,original,prompt,feedback
11,"---
# This is a playbook to test the tasks.
- name: Converge
  hosts: all
  gather_facts: true

  vars:
    role_name: ""{{ lookup('env', 'MOLECULE_PROJECT_DIRECTORY') | basename }}""
    ansible_user: root
    system_is_container: true
    rhel8cis_selinux_disable: true
    rhel8cis_rule_5_3_4: false
    rhel8cis_rule_1_1_10: false
    rhel8cis_rsyslog_ansiblemanaged: false
    rhel8cis_rule_3_4_1_3: false
    rhel8cis_rule_3_4_1_4: false
    rhel8cis_rule_4_1_1_1: false
    rhel8cis_rule_4_1_1_2: false
    rhel8cis_rule_4_1_1_3: false
    rhel8cis_rule_4_1_1_4: false
    rhel8cis_rule_4_2_1_2: false
    rhel8cis_rule_4_2_1_4: false
    rhel8cis_rule_5_1_1: false

  pre_tasks:
  tasks:
    - name: ""Include tasks""
      ansible.builtin.include_role:
        name: ""{{ role_name }}""
",Generate an Ansible playbook that configures a system securely according to RHEL 8 CIS benchmarks while managing specific compliance controls.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
12,"---
- hosts: all
  become: true
  gather_facts: false
  roles:
    - jumperfly.firewalld
",Generate an Ansible playbook that configures firewalld on all hosts with elevated privileges.,The generated code is not an Ansible playbook.
13,"---

- name: Verify
  hosts: all
  gather_facts: False
  tasks:
    - name: ""Include get_api_protection_client""
      ansible.builtin.include_role:
        name: ""get_api_protection_clients""
      vars:
        get_api_protection_clients:
          - name: TestClient

    - name: ""Assert that API protection client TestClient is updated""
      assert:
        that:
          - ret_obj.results.0.data.name is defined
          - ret_obj.results.0.data.companyUrl is defined
          - ret_obj.results.0.data.name == ""TestClient""
          - ret_obj.results.0.data.companyUrl  == ""https://test.ibm.com""
        fail_msg: ""API Protection client TestClient was not updated""
        success_msg: ""API Protection client TestClient was updated""
",Generate an Ansible playbook that verifies the update of a specific API protection client by asserting its attributes.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
14,"---
- hosts: localhost
  remote_user: root
  roles:
    - software_ant
",Generate an Ansible playbook that installs and configures the software_ant role on the localhost using the root user.,The generated code is not an Ansible playbook.
15,"---
- name: Converge - updatge
  hosts: all
  gather_facts: false
  tasks:
    - name: ""Testing add - configure_authentication_policies""
      include_role:
        name: ""configure_authentication_policies""
      vars:
        authentication_policies:
          - policy_action: update
            name: ""{{ molecule.name }}""
            description: ""{{ molecule.update_description }}""
            dialect: ""{{ molecule.dialect }}""
            uri: ""{{ molecule.uri }}""
            enabled: ""{{ molecule.enabled }}""
            policy: ""{{ molecule.policy }}""
",Generate an Ansible playbook that updates authentication policies for all hosts based on specified parameters.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
16,"---
- name: Converge
  hosts: all
  roles:
    - role: dandyrow.iac.stow_dotfiles
      vars:
        dotfiles_remote_repo: https://github.com/dandyrow/dotfiles.git
        dotfiles_to_install:
          - zsh
          - starship
          - neofetch
","Generate an Ansible playbook that sets up and configures a remote repository of dotfiles on all hosts, installing essential tools like zsh, starship, and neofetch.",The generated code is not an Ansible playbook.
17,"---
- name: Test the f5bigip_cm_device_group module
  hosts: all
  connection: local
  gather_facts: false
  roles:
    - f5bigip_cm_device_group
",Generate an Ansible playbook that manages F5 BIG-IP device groups across multiple hosts.,The generated code is not an Ansible playbook.
18,"---
- name: Verify
  hosts: all
  tasks:
    - name: ""check binary exists""
      file:
        path: ""/usr/local/share/prometheus_node_exporter-0.18.1/node_exporter-0.18.1.linux-amd64/node_exporter""
      check_mode: true
      register: check_binary

    - name: ""check service file exists""
      file:
        path: ""/etc/systemd/system/prometheus_node_exporter.service""
      check_mode: true
      register: check_service_file

    - name: check service enabled
      service:
        name: prometheus_node_exporter
        enabled: true
      check_mode: true
      register: check_service_enabled

    - name: ""enforce assertions""
      assert:
        that:
          - not {{ item }}.changed
      with_items:
        - check_binary
        - check_service_file
        - check_service_enabled
","Generate an Ansible playbook that verifies the existence of a binary, a service file, and ensures that a service is enabled without making any changes to the system.","
ERROR: While processing Ansible code, encountered
Multiple modules specified: file and check_mode
Multiple modules specified: file and check_mode
Multiple modules specified: service and check_mode
"
19,"---
- hosts: localhost
  remote_user: root
  roles:
    - ansible-role-cobaltstrike-docker
",Generate an Ansible playbook that installs and configures Cobalt Strike in a Docker container on localhost.,The generated code is not an Ansible playbook.
20,"---
# set
#   Set default id and password for the embedded LDAP user
- hosts: ""{{ hosts | default('all')}}""
  gather_facts: false
  roles:
    - role: ibm.isam.web.execute_pdadmin
      tags: execute_pdadmin
",Generate an Ansible playbook that sets the default ID and password for the embedded LDAP user in IBM ISAM.,The generated code is not an Ansible playbook.
21,"---
- hosts: localhost
  remote_user: root
  roles:
    - ansible-role-aws_cli
",Generate an Ansible playbook that installs the AWS CLI on a local machine.,The generated code is not an Ansible playbook.
22,"---
- name: Converge
  hosts: all
  become: true

  roles:
    - role: geerlingguy.k8s_manifests
",Generate an Ansible playbook that installs and configures Kubernetes manifests on all hosts with elevated privileges.,The generated code is not an Ansible playbook.
23,"---
- hosts: k3s_cluster
  gather_facts: true
  become: true
  roles:
    - { role: k3s }

  environment:
    - http_proxy: ""{{ proxy_env|default('') }}""
    - https_proxy: ""{{ proxy_env|default('') }}""
    - no_proxy: ""{{ ansible_host }}""
",Generate an Ansible playbook that deploys K3s on a cluster while configuring proxy settings for the installation.,The generated code is not an Ansible playbook.
24,"---
- name: Prepare
  hosts: all

  vars:
    bd_loop: ""{{ range(3, 8, 1)|list }}""

  pre_tasks:
    - name: Update apt cache.
      apt:
        update_cache: true
        cache_valid_time: 600
      when: ansible_os_family == 'Debian'

  tasks:
    - name: remove existing loop devices
      file:
        name: /dev/loop{{ item }}
        state: absent
      loop: ""{{ bd_loop }}""

    - name: list existing blk devices
      command: lsblk
      register: lsblk

    - debug: var=lsblk.stdout

    - name: create disk.img
      command: dd if=/dev/zero of=/disk{{ item }}.img bs=1M count=100
      args:
        creates: ""/disk{{ item }}.img""
      loop: ""{{ bd_loop }}""

    - name: ""create /dev/loop{{ item }}""
      command: mknod /dev/loop{{ item }} b 7 {{ item }}
      args:
        creates: ""/dev/loop{{ item }}""
      notify:
        - link disk.img
      loop: ""{{ bd_loop }}""

  handlers:
    - name: link disk.img
      command: losetup /dev/loop{{ item }} /disk{{ item }}.img
      loop: ""{{ bd_loop }}""
","Generate an Ansible playbook that prepares loop devices by removing existing ones, creating disk image files, and linking them to the loop devices.","
ERROR: While processing Ansible code, encountered
unhandled Jinja expression form
"
25,"---
- hosts: localhost
  connection: local
  remote_user: root
  roles:
    - ansible-role-cfndsl
  tasks:
    - name: simple
      cfndsl:
        dest: /tmp/simple.json
        src: tests/cfndsl/sqs.rb
    - name: yaml list
      cfndsl:
        dest: /tmp/yamllist.json
        src: tests/cfndsl/sqs.rb
        yaml:
          - tests/external_parameters/sqs.yml
    - name: yaml string
      cfndsl:
        dest: /tmp/yamlstring.json
        src: tests/cfndsl/sqs.rb
        yaml: tests/external_parameters/sqs.yml
    - name: defines
      cfndsl:
        dest: /tmp/defines.json
        src: tests/cfndsl/sqs.rb
        defines:
          delay: 9
","Generate an Ansible playbook that processes CloudFormation DSL files, generating JSON outputs with various parameter configurations.","
ERROR: While processing Ansible code, encountered
unrecognized field 'connection' in play
"
26,"---
- name: Converge
  hosts: all
  gather_facts: true

  tasks:
    - name: Set variables for molecule
      ansible.builtin.set_fact:
        firewall_enable_ipv6: false # Added to prevent test failures in CI.
        swap_file_create: false # Added to prevent test failures in CI.
        sysctl_set: false # Added to prevent test failures in CI.
        nameservers: [""8.8.8.8"", ""9.9.9.9""]
        with_haproxy_load_balancing: true
        cacheable: true

    - name: Update all system packages
      ansible.builtin.include_role:
        name: ../../roles/update
        tasks_from: system

    - name: Include postgrespro vars
      ansible.builtin.include_vars: vars/postgrespro_vars.yml

- name: Deploy PostgreSQL Cluster
  ansible.builtin.import_playbook: ../../deploy_pgcluster.yml
","Generate an Ansible playbook that configures system settings, updates packages, and prepares for the deployment of a PostgreSQL cluster.","
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
unrecognized field 'ansible.builtin.import_playbook' in play
"
27,"---
- hosts: server
  become: true
  become_method: sudo
  environment:
    http_proxy: ""{{ http_proxy | default() }}""
    https_proxy: ""{{ https_proxy | default() }}""
    no_proxy: ""{{ no_proxy | default() }}""

  pre_tasks:
  roles:
    - hbase
","Generate an Ansible playbook that sets up the HBase environment on a server, using sudo privileges and configurable proxy settings.","
ERROR: While processing Ansible code, encountered
unrecognized field 'environment' in play
"
28,"---
- name: Converge
  hosts: all
  roles:
    - guidugli.journald
",Generate an Ansible playbook that configures and manages system journaling settings on all hosts.,The generated code is not an Ansible playbook.
29,"---
- hosts: localhost
  remote_user: root
  roles:
    - bluecat-ipam-rest
",Generate an Ansible playbook that configures Bluecat IPAM REST services on a local machine with root access.,The generated code is not an Ansible playbook.
30,"---
- name: Test integration playbook
  hosts: all
  roles:
    - juju4.tlsh
",Generate an Ansible playbook that installs and configures the TLSH role across all hosts for integration testing.,The generated code is not an Ansible playbook.
31,"---
- name: Converge
  hosts: all
  roles:
    - role: ""{{ lookup('env', 'MOLECULE_PROJECT_DIRECTORY') | basename }}""
      solarwinds_token: 123456789dbba089e9ff613bb9528320188853b1a08d91d23d2fc9bc1c41ec3e
",Generate an Ansible playbook that deploys a specified role to all hosts using a SolarWinds token for authentication.,The generated code is not an Ansible playbook.
32,"---
# testing Java Orcale JDK 11 Ansible role

- hosts: localhost
  remote_user: root
  roles:
    - ansible-role-java-open-jdk11
    #- { role: ansible-role-java-open-jdk11, java_type: serverjre, java_usr_folder: '/usr/java/server-jre', java_latest_folder: '/usr/java/latest-server-jre' }
",Generate an Ansible playbook that installs Oracle JDK 11 on a local machine using a predefined role.,The generated code is not an Ansible playbook.
33,"---
- hosts: localhost
  gather_facts: false
  roles:
    - role: test_exoscale_dns
      tags: test_exoscale_dns
",Generate an Ansible playbook that automates the management of Exoscale DNS settings using a specific role.,The generated code is not an Ansible playbook.
34,"---
- hosts: all
  vars_files:
    - ""defaults/main.yml""
  roles:
    - jnv.debian-backports
  tasks:
    - include: ""tasks/main.yml""
  handlers:
    - include: ""handlers/main.yml""
",Generate an Ansible playbook that sets up Debian backports and includes custom tasks and handlers.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'vars_files' in play
"
35,"---
- name: Converge
  hosts: all
  become: true
  vars:
    certbot_auto_renew_user: root
    certbot_auto_renew_systemd: ""{{ lookup('env', 'CERTBOT_AUTO_RENEW_SYSTEMD') }}""

  pre_tasks:
    - name: Update apt cache.
      apt: update_cache=yes cache_valid_time=600
      when: ansible_os_family == 'Debian'
      changed_when: false

    - name: Install dependencies (RedHat).
      yum: name={{ item }} state=present
      when: ansible_os_family == 'RedHat'
      with_items:
        - cronie
        - epel-release

    - name: Install cron (Debian).
      apt: name=cron state=present
      when: ansible_os_family == 'Debian'

  roles:
    - nkakouros.certbot
",Generate an Ansible playbook that installs and configures Certbot for automatic SSL certificate renewal on both Debian and RedHat systems.,"
ERROR: While processing Ansible code, encountered
unhandled Jinja expression form
"
36,"---
# Quick-provisioning playbook
# ---------------------------

# A Simple, straight playbook for quick remote installations.
# You will be asked which hosts to provision before-hand.
- name: ""miniconda""

  vars_prompt:
    selected_hosts: Specify the hosts to provision

  hosts: ""{{selected_hosts}}""

  pre_tasks:
    - name: APT update
      sudo: true
      when: ansible_os_family == 'Debian'
      apt: update_cache=yes cache_valid_time=3600

  roles:
    - ""."" # The current directory itself is the role
",Generate an Ansible playbook that quickly installs Miniconda on specified remote hosts with an APT update for Debian systems.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'vars_prompt' in play
"
37,"---
- hosts: localhost
  gather_facts: false
  roles:
    - role: ../..
  vars:
    role_nutanix_prism_monitor_task_host: 10.38.11.199
    role_nutanix_prism_monitor_task_host_username: admin
    role_nutanix_prism_monitor_task_host_password: nx2Tech682!
    role_nutanix_prism_monitor_task_uuid: 523bd2ac-74b2-406a-71d4-9b81d985574a
    # role_nutanix_prism_monitor_task_debug: True
",Generate an Ansible playbook that monitors a Nutanix Prism task on a specified host using provided credentials and task UUID.,The generated code is not an Ansible playbook.
38,"---
- hosts: localhost
  remote_user: root
  roles:
    - paulthed.php
    - ansible-role-php-pecl
",Generate an Ansible playbook that sets up a PHP environment with necessary roles on a local machine.,The generated code is not an Ansible playbook.
39,"---
- name: Converge
  hosts: all
  roles:
    - role: computerlyrik.bitbucket_backup
      vars:
        bitbucket_backup__search_user: ""computerlyrik""
        paging: false
",Generate an Ansible playbook that automates the backup of Bitbucket repositories for a specified user.,The generated code is not an Ansible playbook.
40,"---
- name: Verify
  hosts: all
  tasks:
    - name: Check if NGINX Plus is installed
      ansible.builtin.package:
        name: nginx-plus
        state: present
      check_mode: true
      register: install
      failed_when: (install is changed) or (install is failed)

    - name: Check if NGINX service is running
      ansible.builtin.service:
        name: nginx
        state: started
        enabled: true
      check_mode: true
      register: service
      failed_when: (service is changed) or (service is failed)
",Generate an Ansible playbook that verifies the installation of NGINX Plus and ensures that the NGINX service is running and enabled.,"
ERROR: While processing Ansible code, encountered
Multiple modules specified: ansible.builtin.package and failed_when
Multiple modules specified: ansible.builtin.package and check_mode
Multiple modules specified: ansible.builtin.service and failed_when
Multiple modules specified: ansible.builtin.service and check_mode
"
41,"---
- hosts: localhost
  remote_user: root
  roles:
    - ros7_int_wireguard
",Generate an Ansible playbook that sets up a WireGuard VPN on a remote host using the ROS7 integration.,The generated code is not an Ansible playbook.
42,"---
- name: ""Converge""
  hosts: ""all""
  become: true
  gather_facts: false
  vars_files:
    - ""vars.yml""
  roles:
    - ""marcstraube.users""
",Generate an Ansible playbook that sets up user accounts and permissions on all hosts.,The generated code is not an Ansible playbook.
43,"---
- name: converge
  hosts: instance
  any_errors_fatal: false
  become: false

  roles:
    - role: ansible-monit
",Generate an Ansible playbook that sets up and configures Monit on specified instances.,The generated code is not an Ansible playbook.
44,"---
- hosts: all
  handlers:
    - include: ""handlers/main.yml""
  vars_files:
    - ""defaults/main.yml""
    - ""vars/main.yml""
  tasks:
    - include: ""tasks/main.yml""
",Generate an Ansible playbook that organizes variable files and task inclusions for a streamlined automation process across all hosts.,"
ERROR: While processing Ansible code, encountered
no name field for handler
"
45,"---
- hosts: all
  roles:
    - role: ""{{ playbook_dir }}""
  tasks:
    - command: /usr/local/bin/kes --version
      register: kes_test_output
    - name: kes --version
      debug:
        msg: ""{{ kes_test_output.stdout }}""
",Generate an Ansible playbook that checks the version of the `kes` command on all hosts and outputs the result.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'roles' in play
"
46,"---
- hosts: localhost
  remote_user: root
  roles:
    - ansible-role-php5
",Generate an Ansible playbook that installs PHP 5 on a local server using a specific role.,The generated code is not an Ansible playbook.
47,"---
- hosts: localhost
  vars:
    - apr_debug: true
  pre_tasks:
    - name: Update apt cache.
      apt: update_cache=yes
      changed_when: false
      when: ansible_os_family == 'Debian'
  roles:
    - role_under_test
  post_tasks:
","Generate an Ansible playbook that updates the apt cache on a Debian-based system and runs a specific role, while allowing for debugging options.","
ERROR: While processing Ansible code, encountered
unrecognized field 'pre_tasks' in play
"
48,"---
- hosts: 127.0.0.1
  connection: local
  vars:
    ci_build: true
    openvpn_use_pregenerated_dh_params: true
  roles:
    - role: ../../
      clients:
        - alpha
        - omega
",Generate an Ansible playbook that sets up a local environment for a CI build using OpenVPN with pre-generated DH parameters and configures clients named alpha and omega.,The generated code is not an Ansible playbook.
49,"---
- name: RVM System Wide Setup
  hosts: all
  gather_facts: false
  vars:
    rvm1_user: root
    rvm1_install_flags: ""--auto-dotfiles""
    rvm1_install_path: ""/opt/rvm""
    rvm1_rubies:
      - ""ruby-{{ rvm_tests_mri_version_other }}""
      - ""ruby-{{ rvm_tests_mri_version_to_be_deleted }}""
      - ""ruby-{{ rvm_tests_mri_version_default }}""
    rvm1_delete_ruby: ""ruby-{{ rvm_tests_mri_version_to_be_deleted }}""
  roles:
    - rvm1-ansible
  tags: setup

- name: RVM Setup Validation
  hosts: all
  gather_facts: false
  vars:
    rvm1_install_path: ""/opt/rvm""
  tasks:
    - import_tasks: assertions.yml
  tags: validate
","Generate an Ansible playbook that sets up RVM system-wide, installs specified Ruby versions, and validates the installation.","
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
unrecognized field 'gather_facts' in play
"
50,"---
- hosts: localhost
  remote_user: root
  roles:
    - kristofvc.webpack-encore-yarn
",Generate an Ansible playbook that installs and configures Webpack Encore with Yarn on a localhost server as the root user.,The generated code is not an Ansible playbook.
51,"---
- name: Test tags have a specific value
  hosts: EN2T
  gather_facts: false
  tasks:
    - name: Get MAC address of EN2T device
      industrial.logix.generic_message:
        service: 0x0e
        class_code: 0xf6
        instance: 1
        attribute: 3
        data_type:
          elementary_type: USINT
          array_len: 6

    - name: Find the IP Setting configuration type. 0b_0000 = 'static', 0b_0001 = 'BOOTP' 0b_0010 = 'DHCP'
      industrial.logix.generic_message:
        service: 0x0e
        class_code: 0xf5
        instance: 1
        attribute: 3
        data_type:
          elementary_type: INT
          array_len: -1
        name: ""IP_config""
",Generate an Ansible playbook that retrieves the MAC address and IP configuration type of the EN2T device.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
52,"---
- hosts: all
  vars_files:
    - ../versions.yaml
  roles:
    - cert_issuer
",Generate an Ansible playbook that provisions a certificate issuer on all target hosts using specified version configurations.,The generated code is not an Ansible playbook.
53,"---
- hosts: localhost
  remote_user: root
  roles:
    - roles/ansible-role-mysql
",Generate an Ansible playbook that sets up a MySQL server on a local machine.,The generated code is not an Ansible playbook.
54,"---
- hosts: localhost
  remote_user: root
  roles:
    - bc.dns
",Generate an Ansible playbook that sets up a DNS server on the localhost using the necessary roles.,The generated code is not an Ansible playbook.
55,"---
- name: Converge
  hosts: all
  roles:
    - role: lean_delivery.java
    - role: lean_delivery.jboss
      transport: ""web""
      transport_web: ""{{ lookup('env','STORAGE_AWS') }}/oracle-commerce-suite/app-servers/jboss-eap-6.1.0.zip""
    - role: ansible-role-atg-platform
      transport: ""web""
      atg_version: ""11.1""
      transport_web: ""{{ lookup('env','STORAGE_AWS') }}/oracle-commerce-suite/commerce/ATG11.1/V46005-01.zip""
","Generate an Ansible playbook that sets up a Java environment with JBoss and Oracle ATG platform, utilizing web transport for package downloads.",The generated code is not an Ansible playbook.
56,"---
- hosts: content
  vars:
    domain: ""example.com""
    dns_server_public: 1.1.1.1
    content_hostname: content #Short hostname
    content_ssh_user: root
    content_ssh_pwd: p@ssw0rd
    content_public_ip: ""192.168.122.8""
    content_base_img: rhel-guest-image-7.qcow2
    content_vcpus: 1
    content_ram: 1024
    content_os_disk_name: ""{{ content_hostname }}""
    content_os_disk_size: 110G
    content_nics:
      - name: eth0
        bootproto: static
        onboot: true
        ip: ""{{ content_public_ip }}""
        prefix: ""24""
        gateway: ""192.168.122.1""
        dns_server: ""{{ dns_server_public }}""
        config: ""--type network --source default --model virtio""
    #NOTE: Create/Get username/token from https://access.redhat.com/terms-based-registry/
    content_rh_registry_username: ""1234567|rhnserviceaccount""
    content_rh_registry_token: ""...""
  tasks:
    - name: Install content server
      include_role:
        name: RedHatGov.content
","Generate an Ansible playbook that sets up a content server with specified networking and resource configurations, utilizing a Red Hat base image and integrating with the Red Hat registry.","
ERROR: While processing Ansible code, encountered
expected value found mapping
"
57,"---
- name: Converge
  hosts: molecule_hosts
  gather_facts: false
  roles:
    - amtega.systemd_services
",Generate an Ansible playbook that manages systemd services on specified hosts without gathering facts.,The generated code is not an Ansible playbook.
58,"---
- name: Test playbook
  hosts: localhost
  remote_user: root
  roles:
    - thbe.platform
",Generate an Ansible playbook that sets up the thbe.platform role on a local machine as the root user.,The generated code is not an Ansible playbook.
59,"---
- hosts: localhost
  remote_user: root
  roles:
    # Current parameterized role, look at '../defaults/main.yml' to see all variables
    - role: ../..
      virtualenvwrapper_shell_rc_file: /home/travis/.bashrc
      virtualenvwrapper_override_python: true
",Generate an Ansible playbook that sets up a Python environment using Virtualenvwrapper on a local machine with the specified shell configuration.,The generated code is not an Ansible playbook.
60,"---
- hosts: localhost
  remote_user: root
  roles:
    - /etc/ansible/roles/worker
",Generate an Ansible playbook that sets up and configures a worker role on the localhost using the root user.,The generated code is not an Ansible playbook.
61,"---
- name: Verify
  hosts: all
  become: false
  gather_facts: false

  tasks:
    - name: Run gcc
      ansible.builtin.command:
        cmd: gcc --version

    - name: Run make
      ansible.builtin.command:
        cmd: make --version

    - name: Run shasum
      ansible.builtin.command:
        cmd: shasum --version

    - name: Run bison
      ansible.builtin.command:
        cmd: bison --version
","Generate an Ansible playbook that checks the versions of gcc, make, shasum, and bison on all hosts.","
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
62,"---
- name: Default playbook for testing
  hosts: test-kitchen
  roles:
    - ansible-role-kafka
  vars:
    install_type: archive
    managed_configs: [""jvm_options""]
    jvm_options:
      kafka_heap_opts:
        - ""-Xmx1g -Xms1g""
      KAFKA_JVM_PERFORMANCE_OPTS:
        - ""-server""
        - ""-XX:+UseConcMarkSweepGC""
        - ""-Djava.awt.headless=true""
      KAFKA_jmx_OPTS:
        - ""-Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.port=12345 -Dcom.sun.management.jmxremote.authenticate=false""
",Generate an Ansible playbook that installs and configures Kafka with specific JVM options for optimal performance.,The generated code is not an Ansible playbook.
63,"---
# This is an example playbook to execute Ansible tests.

- name: Verify
  hosts: all
  tasks:
    - name: Check Installed a Remi Repository.
      package_facts:
        manager: auto

    - name: Test if EPEL Repository is installed.
      assert:
        that:
          - ""'epel-release' in ansible_facts.packages""
      when: ansible_distribution == ""CentOS"" or ansible_distribution == ""RedHat""

    - name: Test if Remi Repository is installed.
      assert:
        that:
          - ""'remi-release' in ansible_facts.packages""
",Generate an Ansible playbook that verifies the installation of the EPEL and Remi repositories on CentOS or RedHat servers.,"
ERROR: While processing Ansible code, encountered
Could not find module package_facts
"
64,"---
- hosts: localhost
  remote_user: root
  roles:
    - config_ha
",Generate an Ansible playbook that configures high availability on a local server.,The generated code is not an Ansible playbook.
65,"---
# Create
- name: Configure appliance sysaccounts
  hosts: ""{{ hosts | default('all') }}""
  gather_facts: false
  roles:
    - role: ibm.isam.base.create_sysaccounts
      tags: sysaccount
",Generate an Ansible playbook that configures system accounts on specified hosts using a predefined role.,The generated code is not an Ansible playbook.
66,"---
- name: probe ssh ports and install ssh keys
  hosts: all
  gather_facts: false
  vars:
    roles_dir: roles
  pre_tasks:
    # Workaround to run playbook inside this role.
    - name: set playbook dir when running this playbook here
      set_fact:
        ansible_root_dir: ""{{ playbook_dir | regex_replace('/{{ roles_dir }}/ansible-ssh-port-probe', '') }}""
      when: ""'/{{ roles_dir }}/ansible-ssh-port-probe' in playbook_dir""
      tags: []

  roles:
    - role: ansible-ssh-port-probe
",Generate an Ansible playbook that probes SSH ports on all hosts and installs SSH keys as needed.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
67,"---
- hosts: all
  become: true
  roles:
    - ansible-role-lamp
",Generate an Ansible playbook that sets up a LAMP stack on all target servers.,The generated code is not an Ansible playbook.
