Problem,Model,Response,Result
02,gpt,9,Verification Failure
02,gpt,10,Verification Failure
02,granite,1,Verification Failure
02,granite,2,Verification Failure
02,granite,3,Verification Failure
02,granite,4,Verification Failure
02,granite,5,Verification Failure
02,granite,6,Verification Failure
02,granite,7,Verification Failure
02,granite,8,Correct
02,granite,9,Correct
02,granite,10,Verification Failure
02,llama,1,Ansible Error Could not find module sysctl
02,llama,2,Verification Failure
02,llama,3,Verification Failure
02,llama,4,Verification Failure
02,llama,5,Syntax Error
02,llama,6,Ansible Error Multiple modules specified: set_fact and environment
02,llama,7,Ansible Error Could not find module ansible.builtin.set_fact
02,llama,8,Ansible Error Could not find module ansible.builtin.set_fact
02,llama,9,Ansible Error Multiple modules specified: lineinfile and state
02,llama,10,Ansible Error Could not find module sysctl
02,qwen,1,Ansible Error Could not find module environment
02,qwen,2,Ansible Error Could not find module environment
02,qwen,3,Ansible Error Could not find module ansible.builtin.sysctl
02,qwen,4,Verification Failure
02,qwen,5,Ansible Error Could not find module ansible.builtin.set_fact
02,qwen,6,Ansible Error Could not find module blockinfile
02,qwen,7,Ansible Error Could not find module command
02,qwen,8,Correct
02,qwen,9,Verification Failure
02,qwen,10,Ansible Error Could not find module ansible.builtin.set_fact
02,starcoder,1,Ansible Error unhandled Jinja expression form
02,starcoder,2,Ansible Error Could not find module blockinfile
02,starcoder,3,Ansible Error Could not find module blockinfile
02,starcoder,4,Syntax Error
02,starcoder,5,Ansible Error Could not find module blockinfile
02,starcoder,6,Ansible Error expected value found mapping
02,starcoder,7,Verification Failure
02,starcoder,8,Ansible Error expected value found mapping
02,starcoder,9,Ansible Error Could not find module blockinfile
02,starcoder,10,Verification Failure
03,deepseek,1,Correct
03,deepseek,2,Correct
03,deepseek,3,Correct
03,deepseek,4,Correct
03,deepseek,5,Correct
03,deepseek,6,Correct
03,deepseek,7,Correct
03,deepseek,8,Correct
03,deepseek,9,Correct
03,deepseek,10,Correct
03,gpt,1,Correct
03,gpt,2,Correct
03,gpt,3,Correct
03,gpt,4,Correct
03,gpt,5,Correct
03,gpt,6,Correct
03,gpt,7,Correct
03,gpt,8,Correct
03,gpt,9,Correct
03,gpt,10,Correct
03,granite,1,Correct
03,granite,2,Correct
03,granite,3,Correct
03,granite,4,Correct
03,granite,5,Correct
03,granite,6,Correct
03,granite,7,Correct
03,granite,8,Correct
03,granite,9,Correct
03,granite,10,Correct
03,llama,1,Ansible Error unhandled Jinja expression form
03,llama,2,Ansible Error unhandled Jinja expression form
03,llama,3,Verification Failure
03,llama,4,Ansible Error unhandled Jinja expression form
03,llama,5,Ansible Error unhandled Jinja expression form
03,llama,6,Ansible Error unhandled Jinja expression form
03,llama,7,Ansible Error unhandled Jinja expression form
03,llama,8,Syntax Error
03,llama,9,Ansible Error unhandled Jinja expression form
03,llama,10,Syntax Error
03,qwen,1,Correct
03,qwen,2,Correct
03,qwen,3,Correct
03,qwen,4,Correct
03,qwen,5,Correct
03,qwen,6,Correct
03,qwen,7,Correct
03,qwen,8,Correct
03,qwen,9,Correct
03,qwen,10,Correct
03,starcoder,1,Correct
03,starcoder,2,Correct
03,starcoder,3,Verification Failure
03,starcoder,4,Correct
03,starcoder,5,Correct
03,starcoder,6,Correct
03,starcoder,7,Correct
03,starcoder,8,Correct
03,starcoder,9,Correct
03,starcoder,10,Correct
04,deepseek,1,Verification Failure
04,deepseek,2,Verification Failure
04,deepseek,3,Verification Failure
04,deepseek,4,Ansible Error expected value found mapping
04,deepseek,5,Verification Failure
04,deepseek,6,Verification Failure
04,deepseek,7,Ansible Error expected value found mapping
04,deepseek,8,Verification Failure
04,deepseek,9,Verification Failure
04,deepseek,10,Verification Failure
04,gpt,1,Verification Failure
04,gpt,2,Verification Failure
04,gpt,3,Verification Failure
04,gpt,4,Verification Failure
04,gpt,5,Ansible Error No argument type of module ansible.builtin.find
04,gpt,6,Verification Failure
04,gpt,7,Verification Failure
04,gpt,8,Verification Failure
04,gpt,9,Ansible Error Value has no field 'stat'
04,gpt,10,Verification Failure
04,granite,1,Verification Failure
04,granite,2,Verification Failure
04,granite,3,Verification Failure
04,granite,4,Verification Failure
04,granite,5,Verification Failure
04,granite,6,Verification Failure
04,granite,7,Verification Failure
04,granite,8,Verification Failure
04,granite,9,Verification Failure
04,granite,10,Verification Failure
04,llama,1,Verification Failure
04,llama,2,Ansible Error expected value found mapping
04,llama,3,Verification Failure
04,llama,4,Verification Failure
04,llama,5,Verification Failure
04,llama,6,Verification Failure
04,llama,7,Verification Failure
04,llama,8,Ansible Error Multiple modules specified: file and file
04,llama,9,Verification Failure
04,llama,10,Verification Failure
04,qwen,1,Verification Failure
04,qwen,2,Verification Failure
04,qwen,3,Verification Failure
04,qwen,4,Verification Failure
04,qwen,5,Verification Failure
04,qwen,6,Ansible Error Invalid value 'recurse' expected one of [absent, directory, file, hard, link, touch]
04,qwen,7,Ansible Error Unknown variable ansible_user
04,qwen,8,Ansible Error No argument path of module user
04,qwen,9,Verification Failure
04,qwen,10,Verification Failure
04,starcoder,1,Ansible Error Could not find module ansible.posix.acl
04,starcoder,2,Verification Failure
04,starcoder,3,Verification Failure
04,starcoder,4,Verification Failure
04,starcoder,5,Ansible Error unhandled Jinja expression form
04,starcoder,6,Verification Failure
04,starcoder,7,Verification Failure
04,starcoder,8,Verification Failure
04,starcoder,9,Ansible Error Could not find module ansible.posix.acl
04,starcoder,10,Verification Failure
05,deepseek,1,Correct
05,deepseek,2,Correct
05,deepseek,3,Correct
05,deepseek,4,Correct
05,deepseek,5,Correct
05,deepseek,6,Correct
05,deepseek,7,Correct
05,deepseek,8,Correct
05,deepseek,9,Correct
05,deepseek,10,Correct
05,gpt,1,Correct
05,gpt,2,Correct
05,gpt,3,Correct
05,gpt,4,Correct
05,gpt,5,Correct
05,gpt,6,Correct
05,gpt,7,Correct
05,gpt,8,Correct
05,gpt,9,Correct
05,gpt,10,Correct
05,granite,1,Correct
05,granite,2,Correct
05,granite,3,Correct
05,granite,4,Correct
05,granite,5,Correct
05,granite,6,Correct
05,granite,7,Correct
05,granite,8,Correct
05,granite,9,Correct
05,granite,10,Correct
05,llama,1,Correct
05,llama,2,Correct
05,llama,3,Correct
05,llama,4,Syntax Error
05,llama,5,Correct
05,llama,6,Correct
05,llama,7,Correct
05,llama,8,Correct
05,llama,9,Syntax Error
05,llama,10,Correct
05,qwen,1,Correct
05,qwen,2,Correct
05,qwen,3,Correct
05,qwen,4,Correct
05,qwen,5,Correct
05,qwen,6,Correct
05,qwen,7,Correct
05,qwen,8,Correct
05,qwen,9,Correct
05,qwen,10,Correct
05,starcoder,1,Verification Failure
05,starcoder,2,Correct
05,starcoder,3,Correct
05,starcoder,4,Correct
05,starcoder,5,Correct
05,starcoder,6,Correct
05,starcoder,7,Syntax Error
05,starcoder,8,Correct
05,starcoder,9,Correct
05,starcoder,10,Correct
06,deepseek,1,Ansible Error Could not find module ansible.builtin.command
06,deepseek,2,Ansible Error Could not find module ansible.builtin.command
06,deepseek,3,Ansible Error Could not find module ansible.builtin.command
06,deepseek,4,Ansible Error Could not find module ansible.builtin.shell
06,deepseek,5,Ansible Error Multiple modules specified: ansible.builtin.shell and args
06,deepseek,6,Ansible Error Could not find module ansible.builtin.command
06,deepseek,7,Ansible Error Could not find module ansible.builtin.command
06,deepseek,8,Ansible Error Could not find module ansible.builtin.command
06,deepseek,9,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,deepseek,10,Ansible Error Could not find module ansible.builtin.command
06,gpt,1,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,gpt,2,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,gpt,3,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,gpt,4,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,gpt,5,Ansible Error Incorrect type, found list
06,gpt,6,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,gpt,7,Ansible Error Could not find module community.general.virtualenv
06,gpt,8,Verification Failure
06,gpt,9,Ansible Error Could not find module ansible.builtin.command
06,gpt,10,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,granite,1,Ansible Error Could not find module community.general.virtualenv
06,granite,2,Ansible Error Could not find module ansible.builtin.command
06,granite,3,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,granite,4,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,granite,5,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,granite,6,Ansible Error Could not find module community.general.python_virtualenv
06,granite,7,Ansible Error Could not find module community.general.pip
06,granite,8,Ansible Error Could not find module ansible.builtin.command
06,granite,9,Ansible Error Could not find module ansible.builtin.command
06,granite,10,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,llama,1,Ansible Error Could not find module community.general.python
06,llama,2,Ansible Error Could not find module ansible.posix.module
06,llama,3,Ansible Error Multiple modules specified: ansible.builtin.python3 and args
06,llama,4,Syntax Error
06,llama,5,Syntax Error
06,llama,6,Ansible Error Multiple modules specified: block and always
06,llama,7,Ansible Error Could not find module ansible.builtin liner
06,llama,8,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,llama,9,Ansible Error expected value found mapping
06,llama,10,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,qwen,1,Ansible Error Multiple modules specified: ansible.builtin.command and args
06,qwen,2,Ansible Error Multiple modules specified: environment and block
06,qwen,3,Ansible Error Could not find module ansible.builtin.venv
06,qwen,4,Ansible Error Could not find module command
06,qwen,5,Ansible Error No argument install_from of module ansible.builtin.package
06,qwen,6,Ansible Error Could not find module command
06,qwen,7,Ansible Error Could not find module ansible.builtin.command
06,qwen,8,Ansible Error Could not find module ansible.builtin.command
06,qwen,9,Ansible Error Could not find module command
06,qwen,10,Ansible Error Could not find module ansible.builtin.venv
06,starcoder,1,Ansible Error Could not find module shell
06,starcoder,2,Verification Failure
06,starcoder,3,Ansible Error Could not find module community.general.pynv
06,starcoder,4,Verification Failure
06,starcoder,5,Syntax Error
06,starcoder,6,Verification Failure
06,starcoder,7,Ansible Error Multiple modules specified: block and always
06,starcoder,8,Verification Failure
06,starcoder,9,Ansible Error Could not find module community.general.pveven_env
06,starcoder,10,Ansible Error Could not find module ansible.builtin.shell
07,deepseek,1,Ansible Error No argument branch of module git
07,deepseek,2,Correct
07,deepseek,3,Correct
07,deepseek,4,Correct
07,deepseek,5,Correct
07,deepseek,6,Correct
07,deepseek,7,Correct
07,deepseek,8,Correct
07,deepseek,9,Correct
07,deepseek,10,Correct
07,gpt,1,Correct
07,gpt,2,Correct
07,gpt,3,Correct
07,gpt,4,Correct
07,gpt,5,Correct
07,gpt,6,Correct
07,gpt,7,Correct
07,gpt,8,Correct
07,gpt,9,Correct
07,gpt,10,Correct
07,granite,1,Correct
07,granite,2,Verification Failure
07,granite,3,Verification Failure
07,granite,4,Correct
07,granite,5,Verification Failure
07,granite,6,Correct
07,granite,7,Verification Failure
07,granite,8,Correct
07,granite,9,Correct
07,granite,10,Verification Failure
07,llama,1,Verification Failure
07,llama,2,Verification Failure
07,llama,3,Verification Failure
07,llama,4,Ansible Error No argument rev of module ansible.builtin.git
07,llama,5,Ansible Error No argument branch of module git
07,llama,6,Correct
07,llama,7,Verification Failure
07,llama,8,Correct
07,llama,9,Correct
07,llama,10,Correct
07,qwen,1,Ansible Error No argument branch of module ansible.builtin.git
07,qwen,2,Ansible Error No argument state of module git
07,qwen,3,Ansible Error No argument branch of module git
07,qwen,4,Correct
07,qwen,5,Ansible Error Could not find module environment
07,qwen,6,Ansible Error No argument branch of module git
07,qwen,7,Ansible Error No argument branch of module git
07,qwen,8,Ansible Error No argument branch of module git
07,qwen,9,Ansible Error No argument branch of module git
07,qwen,10,Correct
07,starcoder,1,Correct
07,starcoder,2,Correct
07,starcoder,3,Correct
07,starcoder,4,Syntax Error
07,starcoder,5,Correct
07,starcoder,6,Verification Failure
07,starcoder,7,Correct
07,starcoder,8,Verification Failure
07,starcoder,9,Correct
07,starcoder,10,Correct
08,deepseek,1,Verification Failure
08,deepseek,2,Verification Failure
08,deepseek,3,Verification Failure
08,deepseek,4,Verification Failure
08,deepseek,5,Verification Failure
08,deepseek,6,Verification Failure
08,deepseek,7,Verification Failure
08,deepseek,8,Verification Failure
08,deepseek,9,Ansible Error Multiple modules specified: ansible.builtin.pip and environment
08,deepseek,10,Verification Failure
08,gpt,1,Verification Failure
08,gpt,2,Verification Failure
08,gpt,3,Verification Failure
08,gpt,4,Verification Failure
08,gpt,5,Verification Failure
08,gpt,6,Verification Failure
08,gpt,7,Verification Failure
08,gpt,8,Verification Failure
08,gpt,9,Verification Failure
08,gpt,10,Verification Failure
08,granite,1,Verification Failure
08,granite,2,Ansible Error Multiple modules specified: block and rescue
08,granite,3,Verification Failure
08,granite,4,Verification Failure
08,granite,5,Verification Failure
08,granite,6,Verification Failure
08,granite,7,Verification Failure
08,granite,8,Verification Failure
08,granite,9,Verification Failure
08,granite,10,Verification Failure
08,llama,1,Verification Failure
08,llama,2,Verification Failure
08,llama,3,Verification Failure
08,llama,4,Ansible Error Could not find module pacman
08,llama,5,Ansible Error Argument name appears multiple times
08,llama,6,Verification Failure
08,llama,7,Verification Failure
08,llama,8,Verification Failure
08,llama,9,Verification Failure
08,llama,10,Verification Failure
08,qwen,1,Verification Failure
08,qwen,2,Verification Failure
08,qwen,3,Ansible Error No argument dist_upgrade of module package
08,qwen,4,Syntax Error
08,qwen,5,Ansible Error Could not find module debug
08,qwen,6,Ansible Error Could not find module block
08,qwen,7,Verification Failure
08,qwen,8,Ansible Error jinja parsing error
08,qwen,9,Verification Failure
08,qwen,10,Verification Failure
08,starcoder,1,Verification Failure
08,starcoder,2,Ansible Error Could not find module raw
08,starcoder,3,Syntax Error
08,starcoder,4,Ansible Error Could not find module command
08,starcoder,5,Verification Failure
08,starcoder,6,Verification Failure
08,starcoder,7,Verification Failure
08,starcoder,8,Verification Failure
08,starcoder,9,Verification Failure
08,starcoder,10,Syntax Error
09,deepseek,1,Ansible Error Could not find module blockinfile
09,deepseek,2,Correct
09,deepseek,3,Ansible Error Could not find module ansible.builtin.blockinfile
09,deepseek,4,Correct
09,deepseek,5,Ansible Error Could not find module ansible.builtin.blockinfile
09,deepseek,6,Correct
09,deepseek,7,Correct
09,deepseek,8,Correct
09,deepseek,9,Correct
09,deepseek,10,Ansible Error No argument append of module ansible.builtin.copy
09,gpt,1,Correct
09,gpt,2,Correct
09,gpt,3,Correct
09,gpt,4,Correct
09,gpt,5,Correct
09,gpt,6,Correct
09,gpt,7,Correct
09,gpt,8,Correct
09,gpt,9,Correct
09,gpt,10,Correct
09,granite,1,Correct
09,granite,2,Correct
09,granite,3,Ansible Error Could not find module blockinfile
09,granite,4,Correct
09,granite,5,Correct
09,granite,6,Correct
09,granite,7,Correct
09,granite,8,Correct
09,granite,9,Correct
09,granite,10,Correct
09,llama,1,Ansible Error Could not find module blockinfile
09,llama,2,Correct
09,llama,3,Verification Failure
09,llama,4,Ansible Error Could not find module ansible.posix.user
09,llama,5,Correct
09,llama,6,Syntax Error
09,llama,7,Correct
09,llama,8,Syntax Error
09,llama,9,Correct
09,llama,10,Ansible Error Multiple modules specified: ansible.posix.user and delegate_to
09,qwen,1,Correct
09,qwen,2,Correct
09,qwen,3,Correct
09,qwen,4,Correct
09,qwen,5,Ansible Error Could not find module ansible.builtin.blockinfile
09,qwen,6,Ansible Error No argument append of module lineinfile
09,qwen,7,Ansible Error Could not find module template
09,qwen,8,Correct
09,qwen,9,Ansible Error No argument insert_after of module lineinfile
09,qwen,10,Correct
09,starcoder,1,Correct
09,starcoder,2,Correct
09,starcoder,3,Correct
09,starcoder,4,Correct
09,starcoder,5,Correct
09,starcoder,6,Correct
09,starcoder,7,Correct
09,starcoder,8,Verification Failure
09,starcoder,9,Correct
09,starcoder,10,Correct
10,deepseek,1,Correct
10,deepseek,2,Verification Failure
10,deepseek,3,Correct
10,deepseek,4,Correct
10,deepseek,5,Correct
10,deepseek,6,Correct
10,deepseek,7,Correct
10,deepseek,8,Verification Failure
10,deepseek,9,Ansible Error Could not find module ansible.posix.user
10,deepseek,10,Correct
10,gpt,1,Correct
10,gpt,2,Correct
10,gpt,3,Correct
10,gpt,4,Correct
10,gpt,5,Correct
10,gpt,6,Correct
10,gpt,7,Correct
10,gpt,8,Correct
10,gpt,9,Correct
10,gpt,10,Correct
10,granite,1,Verification Failure
10,granite,2,Verification Failure
10,granite,3,Ansible Error No argument lock of module ansible.builtin.user
10,granite,4,Verification Failure
10,granite,5,Verification Failure
10,granite,6,Correct
10,granite,7,Correct
10,granite,8,Verification Failure
10,granite,9,Verification Failure
10,granite,10,Verification Failure
10,llama,1,Verification Failure
10,llama,2,Syntax Error
10,llama,3,Syntax Error
10,llama,4,Ansible Error Invalid value 'never' expected one of [always, on_create]
10,llama,5,Ansible Error Invalid value 'on_success' expected one of [always, on_create]
10,llama,6,Verification Failure
10,llama,7,Ansible Error Invalid value 'disabled' expected one of [absent, present]
10,llama,8,Ansible Error unhandled Jinja expression form
10,llama,9,Correct
10,llama,10,Ansible Error Incorrect type, found bool
10,qwen,1,Verification Failure
10,qwen,2,Ansible Error unhandled Jinja expression form
10,qwen,3,Correct
10,qwen,4,Ansible Error unhandled Jinja expression form
10,qwen,5,Ansible Error unhandled Jinja expression form
10,qwen,6,Ansible Error No argument login_shell of module user
10,qwen,7,Ansible Error Incorrect type, found bool
10,qwen,8,Ansible Error Could not find module community.general.passwd
10,qwen,9,Syntax Error
10,qwen,10,Ansible Error unhandled Jinja expression form
10,starcoder,1,Verification Failure
10,starcoder,2,Verification Failure
10,starcoder,3,Ansible Error Could not find module hosts
10,starcoder,4,Correct
10,starcoder,5,Correct
10,starcoder,6,Verification Failure
10,starcoder,7,Correct
10,starcoder,8,Syntax Error
10,starcoder,9,Correct
10,starcoder,10,Correct
11a,deepseek,1,Ansible Error unhandled Jinja expression form
11a,deepseek,2,Ansible Error unhandled Jinja expression form
11a,deepseek,3,Verification Failure
11a,deepseek,4,Verification Failure
11a,deepseek,5,Verification Failure
11a,deepseek,6,Ansible Error unhandled Jinja expression form
11a,deepseek,7,Verification Failure
11a,deepseek,8,Verification Failure
11a,deepseek,9,Ansible Error unhandled Jinja expression form
11a,deepseek,10,Ansible Error unhandled Jinja expression form
11a,gpt,1,Correct
11a,gpt,2,Ansible Error unhandled Jinja expression form
11a,gpt,3,Verification Failure
11a,gpt,4,Ansible Error No argument with_fileglob of module ansible.builtin.copy
11a,gpt,5,Ansible Error Multiple modules specified: copy and delegate_to
11a,gpt,6,Correct
11a,gpt,7,Verification Failure
11a,gpt,8,Correct
11a,gpt,9,Ansible Error Multiple modules specified: ansible.builtin.find and delegate_to
11a,gpt,10,Ansible Error No argument include of module copy
11a,granite,1,Ansible Error unhandled Jinja expression form
11a,granite,2,Verification Failure
11a,granite,3,Ansible Error Multiple modules specified: copy and delegate_to
11a,granite,4,Verification Failure
11a,granite,5,Ansible Error unhandled Jinja expression form
11a,granite,6,Verification Failure
11a,granite,7,Ansible Error Could not find module ansible.builtin.unarchive
11a,granite,8,Verification Failure
11a,granite,9,Ansible Error Multiple modules specified: ansible.builtin.command and args
11a,granite,10,Verification Failure
11a,llama,1,Ansible Error Multiple modules specified: ansible.builtin.copy and delegate_to
11a,llama,2,Ansible Error expected value found mapping
11a,llama,3,Verification Failure
11a,llama,4,Verification Failure
11a,llama,5,Syntax Error
11a,llama,6,Ansible Error No argument fileglob of module ansible.builtin.copy
11a,llama,7,Ansible Error unhandled Jinja expression form
11a,llama,8,Verification Failure
11a,llama,9,Verification Failure
11a,llama,10,Ansible Error No argument flat of module copy
11a,qwen,1,Ansible Error No argument recursive of module copy
11a,qwen,2,Verification Failure
11a,qwen,3,Ansible Error Unknown variable ansible_user
11a,qwen,4,Verification Failure
11a,qwen,5,Ansible Error Could not find module gather_facts
11a,qwen,6,Verification Failure
11a,qwen,7,Verification Failure
11a,qwen,8,Ansible Error Multiple modules specified: copy and delegate_to
11a,qwen,9,Verification Failure
11a,qwen,10,Verification Failure
11a,starcoder,1,Verification Failure
11a,starcoder,2,Ansible Error Multiple modules specified: copy and delegate_to
11a,starcoder,3,Syntax Error
11a,starcoder,4,Verification Failure
11a,starcoder,5,Syntax Error
11a,starcoder,6,Verification Failure
11a,starcoder,7,Ansible Error No argument recurse of module ansible.builtin.copy
11a,starcoder,8,Ansible Error unhandled Jinja expression form
11a,starcoder,9,Verification Failure
11a,starcoder,10,Verification Failure
11b,deepseek,1,Verification Failure
11b,deepseek,2,Verification Failure
11b,deepseek,3,Verification Failure
11b,deepseek,4,Ansible Error unhandled Jinja expression form
11b,deepseek,5,Verification Failure
11b,deepseek,6,Verification Failure
11b,deepseek,7,Ansible Error unhandled Jinja expression form
11b,deepseek,8,Verification Failure
11b,deepseek,9,Verification Failure
11b,deepseek,10,Verification Failure
11b,gpt,1,Ansible Error Could not find module ansible.builtin.local_action
11b,gpt,2,Ansible Error Could not find module local_action
11b,gpt,3,Ansible Error Multiple modules specified: delegate_to and ansible.builtin.file
11b,gpt,4,Correct
11b,gpt,5,Ansible Error Could not find module ansible.builtin.local_action
11b,gpt,6,Ansible Error Multiple modules specified: delegate_to and file
11b,gpt,7,Correct
11b,gpt,8,Ansible Error Multiple modules specified: delegate_to and file
11b,gpt,9,Syntax Error
11b,gpt,10,Ansible Error Multiple modules specified: delegate_to and file
11b,granite,1,Verification Failure
11b,granite,2,Ansible Error Could not find module synchronize
11b,granite,3,Verification Failure
11b,granite,4,Verification Failure
11b,granite,5,Ansible Error No argument filter of module copy
11b,granite,6,Ansible Error Multiple modules specified: ansible.builtin.copy and delegate_to
11b,granite,7,Verification Failure
11b,granite,8,Ansible Error No argument flatten of module ansible.builtin.copy
11b,granite,9,Verification Failure
11b,granite,10,Verification Failure
11b,llama,1,Verification Failure
11b,llama,2,Ansible Error No argument mode of module fetch
11b,llama,3,Verification Failure
11b,llama,4,Ansible Error unhandled Jinja expression form
11b,llama,5,Syntax Error
11b,llama,6,Ansible Error Multiple looping fields
11b,llama,7,Syntax Error
11b,llama,8,Verification Failure
11b,llama,9,Verification Failure
11b,llama,10,Verification Failure
11b,qwen,1,Verification Failure
11b,qwen,2,Verification Failure
11b,qwen,3,Verification Failure
11b,qwen,4,Verification Failure
11b,qwen,5,Verification Failure
11b,qwen,6,Verification Failure
11b,qwen,7,Ansible Error Value has no field 'name'
11b,qwen,8,Verification Failure
11b,qwen,9,Verification Failure
11b,qwen,10,Verification Failure
11b,starcoder,1,Verification Failure
11b,starcoder,2,Verification Failure
11b,starcoder,3,Ansible Error Could not find module ansible.windows.win_copy
11b,starcoder,4,Ansible Error Could not find module ansible.posix.synchronize
11b,starcoder,5,Verification Failure
11b,starcoder,6,Ansible Error No argument filter of module copy
11b,starcoder,7,Verification Failure
11b,starcoder,8,Syntax Error
11b,starcoder,9,Ansible Error No argument pattern of module copy
11b,starcoder,10,Syntax Error
12,deepseek,1,Verification Failure
12,deepseek,2,Verification Failure
12,deepseek,3,Verification Failure
12,deepseek,4,Verification Failure
12,deepseek,5,Verification Failure
12,deepseek,6,Verification Failure
12,deepseek,7,Verification Failure
12,deepseek,8,Verification Failure
12,deepseek,9,Verification Failure
12,deepseek,10,Verification Failure
12,gpt,1,Correct
12,gpt,2,Correct
12,gpt,3,Correct
12,gpt,4,Verification Failure
12,gpt,5,Ansible Error Could not find module ansible.builtin.rename
12,gpt,6,Verification Failure
12,gpt,7,Verification Failure
12,gpt,8,Correct
12,gpt,9,Correct
12,gpt,10,Ansible Error Could not find module ansible.builtin.move
12,granite,1,Verification Failure
12,granite,2,Verification Failure
12,granite,3,Verification Failure
12,granite,4,Verification Failure
12,granite,5,Verification Failure
12,granite,6,Verification Failure
12,granite,7,Ansible Error Could not find module ansible.builtin.command
12,granite,8,Verification Failure
12,granite,9,Verification Failure
12,granite,10,Verification Failure
12,llama,1,Ansible Error unhandled Jinja expression form
12,llama,2,Syntax Error
12,llama,3,Ansible Error Unknown variable ansible_user
12,llama,4,Verification Failure
12,llama,5,Ansible Error unhandled Jinja expression form
12,llama,6,Verification Failure
12,llama,7,Ansible Error unhandled Jinja expression form
12,llama,8,Verification Failure
12,llama,9,Verification Failure
12,llama,10,Ansible Error Multiple modules specified: copy and delegate_to
12,qwen,1,Verification Failure
12,qwen,2,Verification Failure
12,qwen,3,Ansible Error Invalid value 'replaced' expected one of [absent, directory, file, hard, link, touch]
12,qwen,4,Ansible Error Invalid value 'present' expected one of [absent, directory, file, hard, link, touch]
12,qwen,5,Verification Failure
12,qwen,6,Verification Failure
12,qwen,7,Ansible Error Invalid value 'replaced' expected one of [absent, directory, file, hard, link, touch]
12,qwen,8,Verification Failure
12,qwen,9,Verification Failure
12,qwen,10,Verification Failure
12,starcoder,1,Verification Failure
12,starcoder,2,Verification Failure
12,starcoder,3,Verification Failure
12,starcoder,4,Verification Failure
12,starcoder,5,Verification Failure
12,starcoder,6,Verification Failure
12,starcoder,7,Verification Failure
12,starcoder,8,Verification Failure
12,starcoder,9,Verification Failure
12,starcoder,10,Ansible Error Could not find module ansible.builtin.command
13,deepseek,1,Ansible Error No argument create_remote_user of module ansible.builtin.file
13,deepseek,2,Ansible Error Could not find module blockinfile
13,deepseek,3,Ansible Error No argument create_home of module ansible.builtin.file
13,deepseek,4,Ansible Error Could not find module blockinfile
13,deepseek,5,Verification Failure
13,deepseek,6,Verification Failure
13,deepseek,7,Ansible Error jinja parsing error
